CALCURVEID,CALCURVE,CALCURVREF,CALCRVNOTE,,,,,
-9999,no data,,,,,,,
1,ATM10.14C,Stuiver:1986program,10 yr atmospheric record to 2490 cal BC (circa 4200 14-C BP); younger terrestrial samples,,,,,
2,ATM20.14C,Stuiver:1986program,20 yr atmospheric record to 7210 cal BC (circa 8200 14-C BP); terrestrial samples,,,,,
3,MARINE.14C,Stuiver:1986program,20 yr marine model record to 7190 cal BC (circa 8585 14-C BP); marine samples,,,,,
4,IntCal93,Stuiver:1993intcal,,,,,,
5,IntCal98,Stuiver:1998intcal,,,,,,
6,IntCal04,Reimer:2004intcal,,,,,,
7,SHCal04,McCormac:2004shcal,,,,,,
8,Hughen et al. 2004,Hughen:2004changes,,,,,,
9,Fairbanks0107,Fairbanks:2005calibration,,,,,,
10,CalPal2007_HULU,Weninger:2007calpal,,,,,,
11,IntCal09,Reimer:2009intcal,,,,,,
12,Marine09,Reimer:2009intcal,,,,,,
13,IntCal13,Reimer:2013intcal,,,,,,
14,Marine13,Reimer:2013intcal,Part of IntCal13,,,,,
15,SHCal13,Hogg:2013shcal,Part of IntCal13,,,,,
16,IntCal20,Reimer:2020intcal,,,,,,
17,Marine20,Heaton:2020marine,Part of IntCal20,,,,,
18,SHCal20,Hogg:2020shcal,Part of IntCal20,,,,,
19,Other,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,a