Field Name,Unit,Example,Origin (Alias)
OBSID1,,*Kier2014-3a*,:ref:`expage_DataCore` (edc)
OBSID2,,*DR-2A*,:ref:`expage_DataCore` (edc)
IGSNID,,*NA*,:ref:`expage_DataCore` (edc)
DBDOI,,*expage_Odbv.2_no_DOI_minted*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*2*,:ref:`global_dbDOI` (gdd)
SMPID,,*Kier2014-3.den*,:ref:`expage_Sample` (es)
SITEID,,*Kier2014-A.z*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*Kier2014-A*,:ref:`global_SiteMaster` (gsm)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*Lake Rhona*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-TAS*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*Tasmania*,:ref:`global_SiteMaster` (gsm)
BASIN,,*Gordon River*,:ref:`global_SiteMaster` (gsm)
AHGFL1,,*TAS*,:ref:`global_rivID` (grid)
AHGFL2,,*TAS_08*,:ref:`global_rivID` (grid)
RIVNAME,,*Gordon River*,:ref:`global_rivID` (grid)
RIVDIV,,*Tasmania*,:ref:`global_rivID` (grid)
IBRACODE,,*TWE*,:ref:`ibraID` (giid)
IBRAREGION,,*Tasmanian West*,:ref:`ibraID` (giid)
X_WGS84,decimal deg,*146.29*,:ref:`global_SiteMaster` (gsm)
Y_WGS84,decimal deg,*-42.55*,:ref:`global_SiteMaster` (gsm)
CORDS_ELEV,,*INTP_ND*,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,*908*,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,*NA*,:ref:`global_SiteMaster` (gsm)
REFDBID1,,*Kiernan:2014denison*,:ref:`expage_DataCore` (edc)
OAID1,,*OAID-000303*,:ref:`global_RefCore` (grc1)
AUTHOR1,,*Kiernan*,:ref:`global_Author' (ga1)
PUBYEAR1,,*2014*,:ref:`global_RefCore` (grc1)
REFID1,,*Quaternary_Sci_Rev_97*,:ref:`global_RefCore` (grc1)
REFDOI1,,*10.1016/j.quascirev.2014.05.008*,:ref:`global_RefCore` (grc1)
REFDBID2,,,:ref:`expage_DataCore` (edc)
...,,...,...
REFDOI4,,,:ref:`global_RefCore` (grc4)
MATERIAL,,*Boulder*,:ref:`expage_Sample` (es)
THICKNESS,cm,*3.5*,:ref:`expage_Sample` (es)
DENSITY,g.cm^-3,*2.7*,:ref:`expage_Sample` (es)
SHIELDING,,*0.978*,:ref:`expage_Sample` (es)
SMP_YR,,*2012*,:ref:`expage_Sample` (es)
SMP_COMMT,,*Latitudes and ...*,:ref:`expage_Sample` (es)
BE10NP,atoms.g^-1,*141000*,:ref:`expage_DataCore` (edc)
BE10NP_ERR,atoms.g^-1,*7000*,:ref:`expage_DataCore` (edc)
BESTND,,*07KNSTD*,:ref:`expage_DataCore` (edc)
BECORR,,*1*,:ref:`expage_DataCore` (edc)
BE10AP,kyr,*18.3*,:ref:`expage_DataCore` (edc)
BE10AP_ERR,kyr,*1*,:ref:`expage_DataCore` (edc)
AL26NP,atoms.g^-1,*930000*,:ref:`expage_DataCore` (edc)
AL26NP_ERR,atoms.g^-1,*118000*,:ref:`expage_DataCore` (edc)
ALSTND,,*KNSTD*,:ref:`expage_DataCore` (edc)
ALCORR,,*1*,:ref:`expage_DataCore` (edc)
AL26AP,kyr,*18*,:ref:`expage_DataCore` (edc)
AL26AP_ERR,kyr,*2.7*,:ref:`expage_DataCore` (edc)
ABE_YR,kyr,*17.719*,:ref:`expage_DataCore` (edc)
ABE_ERREXT,kyr,*1.322*,:ref:`expage_DataCore` (edc)
ABE_ERRINT,kyr,*0.884*,:ref:`expage_DataCore` (edc)
AAL_YR,kyr,*16.607*,:ref:`expage_DataCore` (edc)
AAL_ERREXT,kyr,*2.401*,:ref:`expage_DataCore` (edc)
AAL_ERRINT,kyr,*2.124*,:ref:`expage_DataCore` (edc)