OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,AUTH_URL,URL_DATE
OAID-000001,Abbühl,Luca A.,L. A.,,26427570600,,,,
OAID-000002,Abrahami,Rachel,R.,0000-0002-1406-3876,56983056700,,,,
OAID-000003,Adams,Byron A.,B. A.,0000-0001-8219-3544,55181943900,I-4243-2015,,,
OAID-000004,Aguilar,Germán,G.,0000-0002-3926-835X,36624833300,P-7681-2014,,,
OAID-000005,Andermann,Christoff,C.,0000-0003-0921-8455,35145340000,J-7935-2013,,,
OAID-000006,Ansberque,Claire,C.,0000-0003-4602-6911,56724222600,,,,
OAID-000007,Arkle,Jeanette C.,J. C.,0000-0003-0640-6178,55682758000,,,,
OAID-000008,Balco,Greg,G.,,6508182808,,,,
OAID-000009,Barreto,Helen N.,H. N.,,55638166000,,,,
OAID-000010,Bellin,Nicolas,N.,,25653815300,,,,
OAID-000011,Belmont,Patrick,P.,0000-0002-8244-3854,23003260900,,,,
OAID-000012,Bestland,Erick A.,E. A.,0000-0001-8424-9150,6602741368,F-1311-2015,,,
OAID-000013,Bierman,Paul R.,P. R.,0000-0001-9627-4601,7006832233,AAA-9466-2020,,,
OAID-000014,Binnie,Steven A.,S. A.,0000-0003-0883-0212,23003805700,,,,
OAID-000015,Bookhagen,Bodo,B.,0000-0003-1323-6453,6603446872,A-1389-2012,,,
OAID-000016,Brown,Erik Thorson,E. T.,0000-0001-7154-2729,35566488900,,,,
OAID-000017,Buechi,Marius W.,M. W.,0000-0001-7638-490X,55946010700,,ORCID unconfirmed,,
OAID-000018,Burdis,Abby Jade,A. J.,,,,,,
OAID-000019,Buscher,Jamie T.,J. T.,0000-0002-9089-4102,6506386026,M-2315-2016,,,
OAID-000020,Byun,Jongmin,J.,0000-0002-7309-9027,56573452800,,,,
OAID-000021,Callahan,Russell P.,R. P.,0000-0002-0091-3446,57210793869,,,,
OAID-000022,Carretier,Sébastien,S.,0000-0002-5527-5146,6603118126,L-4580-2017,,,
OAID-000023,Cazes,Gaël,G.,,57192676939,,,,
OAID-000024,Chadwick,Oliver A.,O. A.,0000-0002-4964-6203,57206172597,,,,
OAID-000025,Chappell,John M. A.,J. M. A.,,7102682272,,,,
OAID-000026,Charreau,Julien,J.,0000-0001-9313-0450,12792552000,,,,
OAID-000027,Chen,Chia-Yu,C.-Y.,,,,,,
OAID-000028,Cherem,Luis Felipe Soares,L. F. S.,0000-0002-4119-6690,44861063900,,,,
OAID-000029,Chittenden,Hannah,H.,,55966254600,,,,
OAID-000030,Clapp,Erik Matthew,E. M.,,55681084000,,,,
OAID-000031,Clapuyt,François,F.,0000-0001-9940-9356,56667612300,,,,
OAID-000032,Codilean,Alexandru T.,A. T.,0000-0003-1895-5633,13808095400,,,,
OAID-000033,Collignon,Marine,M.,0000-0003-1440-7058,55418974100,,,,
OAID-000034,Cook,Kristen L.,K. L.,0000-0003-2355-4877,36908597600,,,,
OAID-000035,Couto,Edivando Vitor do,,0000-0003-4264-8449,54413999800,,,,
OAID-000036,Cox,Rónadh,R.,0000-0002-1743-2702,55418385300,,,,
OAID-000037,Croke,Jacky,J.,0000-0002-0928-5327,57225698245,,,,
OAID-000038,Cyr,Andrew J.,A. J.,0000-0003-2293-5395,8855317700,,,,
OAID-000039,Darling,Andrew,A.,0000-0002-3510-1229,,,,,
OAID-000040,de Sordi,Michael Vinicius,M. V.,,56373315300,,check name in DB,,
OAID-000041,de Souza,Daniel H.,D. H.,,,,check name in DB,,
OAID-000042,Del Vecchio,Joanmarie,J.,,57203061411,,,,
OAID-000043,DeLong,Stephen B.,S. B.,0000-0002-0945-2172,12243654900,,,,
OAID-000044,Delunel,Romain,R.,0000-0001-7752-6498,S35728264500,J-3319-2014,,,
OAID-000045,Densmore,Alexander Logan,A. L.,0000-0003-0629-6554,7004510678,A-1630-2012,,,
OAID-000046,Derrieux,Florence,F.,,37033745800,,,,
OAID-000047,Dethier,David P.,D. P.,0000-0001-7501-1810,6701657297,,ORCID unconfirmed,,
OAID-000048,DiBiase,Roman A.,R. A.,0000-0002-5347-8396,35174228300,,ORCID unconfirmed,,
OAID-000049,Dietsch,Craig,C.,0000-0001-6130-5826,6603385668,,ORCID unconfirmed,,
OAID-000050,Dingle,Elizabeth H.,E. H.,0000-0003-0651-7337,57191445149,,,,
OAID-000051,Dirks,Paul H. G. M.,P. H. G. M.,0000-0002-1582-1405,7006682762,,ORCID unconfirmed,,
OAID-000052,Dixon,Jean Louise,J. L.,0000-0002-7763-4939,34871830900,B-2099-2012,,,
OAID-000053,Dortch,Jason M.,J. M.,0000-0002-8652-0394,24464054500,,,,
OAID-000054,Duxburry,Jane,J.,,,,,,
OAID-000055,Eccleshall,Sarah Victoria,S. V.,,,,,,
OAID-000056,Fame,Michelle L.,M. L.,0000-0002-0305-6910,57200132303,,ORCID unconfirmed,,
OAID-000057,Fellin,Maria Giuditta,M. G.,0000-0003-3545-3512,8523841500,,,,
OAID-000058,Ferrier,Ken L.,K. L.,0000-0003-4098-166X,12140263600,,,,
OAID-000059,Finnegan,Noah J.,N. J.,0000-0002-8505-6526,23004024900,,,,
OAID-000060,Foster,Melissa A.,M. A.,0000-0001-9242-6217,56647511400,,,,
OAID-000061,Fruchter,Noa J.,N. J.,0000-0001-6017-8570,24385543800,,ORCID unconfirmed,,
OAID-000062,Fuchs,Margret C.,M. C.,0000-0001-7210-1132,55423896200,,ORCID unconfirmed,,
OAID-000063,Garcin,Yannick,Y.,0000-0001-8205-494X,8938219600,,,,
OAID-000064,Glaus,Gabriel,G.,,,,,,
OAID-000065,Glotzbach,Christoph,C.,0000-0003-4591-3025,57211450593,,ORCID unconfirmed,,
OAID-000066,Godard,Vincent,V.,0000-0003-0143-5893,8315760100,,,,
OAID-000067,Granger,Darryl,D.,0000-0002-9894-8478,7201564476,,ORCID unconfirmed,,
OAID-000068,Grin,Elena,E.,,57188696820,,,,
OAID-000069,Grischott,Reto,R.,0000-0001-8025-3347,56786327700,,ORCID unconfirmed,,
OAID-000070,Gudmundsdottir,Maria H.,M. H.,,,,,,
OAID-000071,Guralnik,Benny,B.,0000-0003-3095-3868,35253625500,,,,
OAID-000072,Hattanji,Tsuyoshi,T.,,6507555127,,,,
OAID-000073,Heineke,Caroline,C.,,57189097314,,,,
OAID-000074,Heimsath,Arjun M.,A. M.,0000-0002-6300-6069,6603159701,,,,
OAID-000075,Henck,Amanda C.,A. C.,0000-0002-2658-5348,23090868000,,is Amanda Schmidt (OAID-000151),,
OAID-000076,Hetzel,Ralf,R.,0000-0002-3412-6344,7003345718,,,,
OAID-000077,Hewawasam,Tilak,T.,0000-0001-7927-9283,6504732191,,ORCID unconfirmed,,
OAID-000078,Hidy,Alan J.,A. J.,0000-0003-2916-1425,24472834700,,,,
OAID-000079,Hippe,Kristina,K.,0000-0003-0946-9772,,,,,
OAID-000080,Hurst,Martin D.,M. D.,0000-0002-9822-076X,38961405700,,,,
OAID-000081,Insel,Nadja,N.,0000-0001-5373-7901,28367740100,,ORCID unconfirmed,,
OAID-000082,Hu,Kai,K.,,,,,,
OAID-000083,Jonell,Tara N.,T. N.,0000-0002-6811-3816,56003528800,K-5091-2018,,,
OAID-000084,Kim,Dong-Eun,D.-E.,,,,,,
OAID-000085,Kirby,Eric,E.,0000-0002-5701-8688,35509468600,,ORCID unconfirmed,,
OAID-000086,Kirchner,James W.,J. W.,0000-0001-6577-3619,7201671604,B-6126-2009,,,
OAID-000087,Kober,Florian,F.,0000-0001-7096-6415,8591213500,,ORCID unconfirmed,,
OAID-000088,Korup,Oliver,O.,0000-0002-9084-1895,6602348460,,,,
OAID-000089,Larsen,Isaac J.,I. J.,0000-0003-3094-4830,7004986137,,ORCID unconfirmed,,
OAID-000090,Le Roux‐Mallouf,Romain,R.,0000-0002-6869-3910,56638540200,D-4945-2017,reconcile with DB and attribute table,,
OAID-000091,Lee,Borom,B.,0000-0001-8051-5239,56124667400,,ORCID unconfirmed,,
OAID-000092,Legrain,Nicolas,N.,,56237005900,,,,
OAID-000093,Li,Yingkui,Y.,0000-0002-3722-8960,15623541100,,,,
OAID-000094,Linari,Colleen L.,C. L.,,,,,,
OAID-000095,Lupker,Maarten,M.,0000-0001-7609-6246,34868423400,,,,
OAID-000096,Mandal,Sanjay Kumar,S. K.,0000-0001-5341-6788,56681706300,,,,
OAID-000097,Mariotti,Apolline,A.,,57212572639,,,,
OAID-000098,Marshall,Jill A.,J. A.,0000-0002-2388-2072,56451289100,,,,
OAID-000099,Matmon,Ari,A.,0000-0001-9692-7932,6602501003,,ORCID unconfirmed,,
OAID-000100,Matsushi,Yuki,Y.,,6506040704,,,,
OAID-000101,May,Jan-Hendrik,J.-H.,0000-0001-5758-9459,23492820200,,ORCID unconfirmed,,
OAID-000102,McCarthy,James A.,J. A.,,,,,,
OAID-000103,McElroy,Brandon,B.,0000-0002-9683-4282,6701361221,E-9391-2010,,,
OAID-000104,McPhillips,Devin,D.,,23669994600,,,,
OAID-000105,Mearce,Trevor,T.,,,,,,
OAID-000106,Meyer,Hinrich W.,H. W.,0000-0001-8140-4987,15134404300,,,,
OAID-000107,Molliex,Stéphane,S.,0000-0001-6082-4691,36970888100,,,,
OAID-000108,Moon,Seulgi,S.,0000-0001-5207-1781,16025241500,,,,
OAID-000109,Morel,Philipe,P.,,,,,,
OAID-000110,Morell,Kristin D.,K. D.,0000-0001-8464-3553,23036264600,,,,
OAID-000111,Munack,Henry,H.,0000-0002-3750-9674,54786849500,,,,
OAID-000112,Nakamura,Atsunori,A.,0000-0002-7322-8976,54936620100,L-5188-2018,,,
OAID-000113,Neely,Alexander B.,A. B.,0000-0001-6142-2627,57194503322,,,,
OAID-000114,Nichols,Kyle K.,K. K.,,7103268001,,,,
OAID-000115,Nóbile,Julieta C.,J. C.,0000-0002-9610-9021,50961444600,,,,
OAID-000116,Norton,Kevin P.,K. P.,0000-0002-7995-6464,15756031100,F-1606-2011,,,
OAID-000117,Cruz Nunes,Fábio,F.,,,,,,
OAID-000118,Ojha,Lujendra,L.,0000-0003-2086-4546,49661868700,,,,
OAID-000119,Olen,Stephanie M.,S. M.,0000-0002-9092-0964,55134973500,,,,
OAID-000120,Olivetti,Valerio,V.,0000-0001-8173-3860,36544089700,,,,
OAID-000121,Orem,Caitlin A.,C. A.,,37034870700,,,,
OAID-000122,Oskin,Michael E.,M. E.,0000-0002-6631-5326,6603767024,,,,
OAID-000123,Ott,Richard F.,R. F.,0000-0002-8257-0079,57210709695,,,,
OAID-000124,Ouimet,William B.,W. B.,0000-0002-1063-2082,7801682185,,ORCID unconfirmed,,
OAID-000125,Palumbo,Luigi,L.,,56276011600,,ORCID unconfirmed,,
OAID-000126,Penserini,Brian D.,B. D.,0000-0002-4283-4682,,,ORCID unconfirmed,,
OAID-000127,Pepin,Emilie,E.,,,,,,
OAID-000128,Perg,Lesley A.,L. A.,,21735456200,,,,
OAID-000129,Placzek,Christa J.,C. J.,0000-0001-6524-8355,8540533700,,,,
OAID-000130,Portenga,Eric W.,E. W.,0000-0002-0793-9972,45561601300,,ORCID unconfirmed,,
OAID-000131,Puchol,Nicolas,N.,,35201496000,,,,
OAID-000132,Quigley,Marc C.,M. C.,,,,,,
OAID-000133,Rades,Eike F.,E. F.,0000-0002-6287-6775,55919290100,,,,
OAID-000134,Reber,Regina,R.,0000-0003-1660-5613,36646731800,,,,
OAID-000135,Regalla,Christine,C.,0000-0003-2975-8336,18435249500,,,,
OAID-000136,Regard,Vincent,V.,0000-0002-5250-6068,36094627300,B-2585-2010,,,
OAID-000137,Reinhardt,Liam J.,L. J.,,16064287700,,,,
OAID-000138,Reusser,Lucas,L.,,6506731849,,,,
OAID-000139,Reuter,Joanna M.,J. M.,,7005314980,,,,
OAID-000140,Rezende,Éric Andrade,E. A.,0000-0001-7594-7133,,,,,
OAID-000141,Riebe,Clifford S.,C. S.,0000-0002-8744-8208,6603274927,,,,
OAID-000142,Roller,Sybille,S.,,7003682305,,,,
OAID-000143,Rosenkranz,Ruben,R.,0000-0002-7237-5886,57200320405,,,,
OAID-000144,Safran,Elizabeth B.,E. B.,,,,,,
OAID-000145,Salgado,André Augusto Rodrigues,A. A. R.,0000-0001-7679-5944,12140916400,G-4993-2012,,,
OAID-000146,Savi,Sara,S.,0000-0001-5515-753X,55454193100,,ORCID unconfirmed,,
OAID-000147,Schaller,Mirjam,M.,0000-0003-4638-0873,57198360266,,,,
OAID-000148,Scharf,Taryn E.,T. E.,0000-0002-2791-430X,,,ORCID unconfirmed,,
OAID-000149,Scherler,Dirk,D.,0000-0003-3911-2803,14052807300,G-2066-2016,,,
OAID-000150,Schildgen,Taylor F.,T. F.,0000-0002-4236-4609,6507452097,,,,
OAID-000151,Schmidt,Amanda H.,A. H.,0000-0002-2658-5348,23090868000,,is Amanda Henck (OAID-000075),,
OAID-000152,Siame,Lionel L.,L. L.,0000-0002-4288-9528,6602252411,,,,
OAID-000153,Sosa-Gonzalez,Veronica,V.,,57189597054,,,,
OAID-000154,Starke,Jessica,J.,0000-0002-2619-0880,57072962300,,,,
OAID-000155,Stock,Greg M.,G. M.,0000-0002-3219-0481,8960489600,,,,
OAID-000156,Stolle,Amelie,A.,0000-0001-9254-4635,56015077300,,ORCID unconfirmed,,
OAID-000157,Strobl,Marcus,M.,0000-0001-8265-227X,36775685700,,,,
OAID-000158,Struck,Martin,M.,0000-0001-6918-6374,56594692500,,,,
OAID-000159,Struth,Lucía,L.,0000-0002-1944-3691,56426570500,,,,
OAID-000160,Stutenbecker,Laura,L.,0000-0001-9769-8342,56426570500,,,,
OAID-000161,Sullivan,Colleen L.,C. L.,0000-0001-7881-6673,,,ORCID unconfirmed,,
OAID-000162,Tofelde,Stefanie,S.,,57028362000,,,,
OAID-000163,Tomkins,Kerrie M.,K. M.,0000-0001-6163-3416,6507220104,B-5015-2016,,,
OAID-000164,Torres Acosta,Verónica,V.,0000-0003-2583-8494,56763846200,,,,
OAID-000165,Tranel,Lisa M.,L. M.,0000-0002-1312-3566,37065418700,,,,
OAID-000166,Val,Pedro,P.,0000-0001-5370-4122,55963440700,,,,
OAID-000167,Van den Berg,Fabien,F.,,54885583700,,,,
OAID-000168,van Dongen,Renee,R.,0000-0002-7246-511X,,,,,
OAID-000169,Vanacker,Veerle,V.,0000-0002-8237-3446,6602448409,,,,
OAID-000170,Vance,Derek,D.,0000-0002-6140-6325,57204303325,,ORCID unconfirmed,,
OAID-000171,Varajão,César Augusto Chicarino,C. A. C.,0000-0002-2531-7165,6506076560,,ORCID unconfirmed,,
OAID-000172,von Blanckenburg,Friedhelm,F.,0000-0002-2964-717X,6701424845,RK-4711-2013,,,
OAID-000173,Walcek,Alina,A.,,,,,,
OAID-000174,Wang,Yang,Y.,,,,,,
OAID-000175,Wang,Wei,W.,0000-0003-3227-4885,,,,,
OAID-000176,West,A. Joshua,A. J.,0000-0001-6909-1471,26538380300,,,,
OAID-000177,Willenbring,Jane K.,J. K.,0000-0003-2722-9537,24554600700,B-6431-2011,,,
OAID-000178,Wittmann,Hella,H.,0000-0002-1252-7059,23767732900,F-9391-2011,,,
OAID-000179,Wobus,Cameron,C.,0000-0002-9654-1738,6602398842,,,,
OAID-000180,Wölfler,Andreas,A.,,25123236200,,,,
OAID-000181,Young,Holly H.,H. H.,,57204519618,,,,
OAID-000182,Butler,Jonathan James,J. J.,,,,,,
OAID-000183,Fisher,Luke H.,L. H.,,,,,,
OAID-000184,Seagren,Erin G.,E. G.,0000-0003-1996-9121,57209421035,,,,
OAID-000185,He,Chuanqi,C.,0000-0003-2644-5457,57196475069,C-3267-2018,,,
OAID-000186,Riley,Kerry E.,K. E.,,57205913503,,,,
OAID-000187,Bender,Adrian M.,A. M.,0000-0001-7469-1957,56406916000,,,,
OAID-000188,Rossi,Matthew W.,M. W.,0000-0003-1846-5191,57129684100,V-2087-2017,,,
OAID-000189,Jansen,John D.,J. D.,0000-0002-0669-5101,56962780100,,,,
OAID-000190,Heyman,Jakob,J.,,25821842500,,,,
OAID-000191,Mason,Cody C.,C. C.,0000-0003-4065-3535,57193683265,,,,
OAID-000192,Roda-Boluda,Duna C.,D.,0000-0003-2652-071X,56418630200,,,,
OAID-000193,Allen,Jim,J.,,55477883800,,,,
OAID-000194,Archer,Michael,M.,0000-0002-0304-4039,7102488403,,,,
OAID-000195,Atchison,Jennifer,J.,0000-0003-1173-8943,,,,,
OAID-000196,Attenbrow,Val,V.,0000-0003-2897-4934,,,,,
OAID-000197,Ayliffe,Linda,L.,,,C-3627-2009,,,
OAID-000198,Backhouse,John,J.,,,,,,
OAID-000199,Bailey,Geoff N.,G. N.,0000-0003-2656-830X,7202790977,,,,
OAID-000200,Baird,Robert F,R. F.,,,,,,
OAID-000201,Balme,Jane,J.,0000-0003-1387-9379,8861983900,H-8787-2014,,,
OAID-000202,Banerjee,Debabrata,D.,,,,,,
OAID-000203,Banks,Maxwell,M.,,,,,,
OAID-000204,Barbetti,Michael,M.,,,,,,
OAID-000205,Barker,Bryce,B.,0000-0002-6008-6411,,,,,
OAID-000206,Barrie,John,J.,,,,,,
OAID-000207,Baynes,Alexander,A.,,,,,,
OAID-000208,Beaton,John M.,J. M.,,,,,,
OAID-000209,Bell,William Terence,W. T.,,,,,,
OAID-000210,Bird,Michael I.,M. I.,0000-0003-1801-8703,7102578362,G-5364-2010,,,
OAID-000211,Bourman,Robert Peter,R. P.,,,,,,
OAID-000212,Bowdler,Sandra,S.,0000-0003-2755-7602,,,,,
OAID-000213,Bowler,James Maurice,J. M.,,,,,,
OAID-000214,Bowman,Hugo H.,H. H.,,,,,,
OAID-000215,Brown,Peter,P.,,,,,,
OAID-000216,Brown,Steve P.,S. P.,,,,,,
OAID-000217,Buckley,James,J.,,,,,,
OAID-000218,Cafiyn,P.,P.,,,,,,
OAID-000219,Calaby,John Henry,J. H.,,,,,,
OAID-000220,Callen,Roger Arthur,R. A.,,,,,,
OAID-000221,Cheetham,Michael D.,M. D.,,,,,,
OAID-000222,Chen,Xiangyang,X.,,,,,,
OAID-000223,Clark,Peter Malcom,P. M.,,,,,,
OAID-000224,Clarkson,Christopher James,C. J.,0000-0002-8938-8974,36885327100,,,,
OAID-000225,Cohen,Timothy J.,T. J.,0000-0003-4081-9523,7202415722,,,,
OAID-000226,Coleman,Maria,M.,,,,,,
OAID-000227,Colhoun,Eric A.,E. A.,,,,,,
OAID-000228,Cook,Ellyn J.,E. J.,,,,,,
OAID-000229,Cosgrove,Richard,R.,,,,,,
OAID-000230,Couri,J.,J.,,,,,,
OAID-000231,Coventry,R. J.,R. J.,,,,,,
OAID-000232,Cramb,Jonathan,J.,,,,,,
OAID-000233,Cupper,Matthew L.,M. L.,0000-0002-1221-8686,,,,,
OAID-000234,Daley,James S.,J. S.,0000-0003-4271-5664,,,,,
OAID-000235,David,Bruno,B.,0000-0002-8567-6135,14040134600,,,,
OAID-000236,Davis,A. C.,A. C.,,,,,,
OAID-000237,Dawson,L.,L.,,,,,,
OAID-000238,Denham,Tim,T.,0000-0002-8164-2990,6602644857,,,,
OAID-000239,Dodson,John,J.,0000-0002-0124-5910,7006033210,,,,
OAID-000240,Donaldson,P.,P.,,,,,,
OAID-000241,Dortch,Charles E.,C. E.,,,,,,
OAID-000242,Dortch,Joe,J.,0000-0002-0510-5456,6506841283,C-6296-2014,,,
OAID-000243,Downie,J. E.,J. E.,,,,,,
OAID-000244,Doyle,Christopher J.,C. J.,,,,,,
OAID-000245,Duller,Geoff A. T.,G. A. T.,0000-0002-2694-4590,7006321448,D-5110-2015,,,
OAID-000246,English,Pauline,P.,,,,,,
OAID-000247,Eriksson,Mats G.,M. G.,,,,,,
OAID-000248,Fagan,Simon D.,S. D.,,,,,,
OAID-000249,Fergusson,G. J.,G. J.,,,,,,
OAID-000250,Field,Judith H.,J. H.,0000-0001-6807-1858,35239626800,,,,
OAID-000251,Fitzsimmons,Kathryn E.,K. E.,0000-0002-9337-0793,,P-3471-2014,,,
OAID-000252,Flannery,Timothy F.,T. F.,,,,,,
OAID-000253,Flood,Josephine Mary,J. M.,,,,,,
OAID-000254,Forbes,Matthew,M.,0000-0001-7535-3976,,,,,
OAID-000255,Fraser,Rebecca,R.,,,,,,
OAID-000256,Fu,Xiao,X.,0000-0002-4666-8749,,,,,
OAID-000257,Fujioka,Toshiyuki,T.,,,,,,
OAID-000258,Fullagar,Richard L. K.,R. L. K.,0000-0003-1047-1466,6602230399,,,,
OAID-000259,Furlonger,L.,L.,,,,,,
OAID-000260,Galbraith,Rex F.,R. F.,0000-0002-5723-4567,,,ORCID unconfirmed,,
OAID-000261,Gale,Stephen J.,S. J.,,,,,,
OAID-000262,Gardner,G. J.,G. J.,,,,,,
OAID-000263,Gardner,Thomas W.,T. W.,,,,,,
OAID-000264,Garvey,Jilian M.,J. M.,,,,,,
OAID-000265,Gill,Edmund D.,E. D.,,,,,,
OAID-000266,Gillespie,Richard,R.,0000-0003-0555-2595,,,ORCID unconfirmed,,
OAID-000267,Gliganic,Luke,L.,0000-0001-8998-0081,,,ORCID unconfirmed,,
OAID-000268,Goede,Albert,A.,,,,,,
OAID-000269,Gorecki,Paul P.,P. P.,,,,,,
OAID-000270,Goudie,Andrew S.,A. S.,0000-0002-5496-8207,7101905477,,,,
OAID-000271,Gould,Richard A.,R. A.,,,,,,
OAID-000272,Gouramanis,Chris,C.,0000-0003-2867-2258,36172890400,,,,
OAID-000273,Grant-Taylor,T. L.,T. L.,,,,,,
OAID-000274,Grellet-Tinner,Gerald,G.,0000-0001-5835-108X,,,,,
OAID-000275,Gresham,R.,R.,,,,,,
OAID-000276,Grun,Rainer,R.,0000-0003-1366-3674,,A-1437-2012,,,
OAID-000277,Gully,Grant Ashley,G. A.,,,,,,
OAID-000278,Gunn,Robert G.,R. G.,0000-0002-7565-8697,26648502700,,,,
OAID-000279,Haberlah,David,D.,,,,,,
OAID-000280,Haberle,Simon Graeme,S. G.,0000-0001-5802-6535,6701820868,,,,
OAID-000281,Hamm,Giles,G.,,,,,,
OAID-000282,Harrison,Rodney,R.,0000-0002-5030-0525,7403907498,,,,
OAID-000283,Herczeg,Andrew L.,A. L.,0000-0002-3788-2743,,,ORCID unconfirmed,,
OAID-000284,Hesse,Paul P.,P. P.,0000-0001-8709-2523,56367075100,,,,
OAID-000285,Hewitt,Geoff,G.,,,,,,
OAID-000286,Hisock,Peter,P.,,,,,,
OAID-000287,Hocknull,Scott A.,S. A.,0000-0003-4157-8434,6508238163,,,,
OAID-000288,Hollands,Cameron B.,C. B.,,,,,,
OAID-000289,Hope,Jeannette,J.,,,,,,
OAID-000290,Hope,Geoffrey S.,G. S.,0000-0001-8366-0677,,,,,
OAID-000291,Hubbs,Carl L.,C. L.,,,,,,
OAID-000292,Hughes,Kate,K.,,,,,,
OAID-000293,Hughes,Philip J.,P. J.,0000-0001-7928-5229,,,ORCID unconfirmed,,
OAID-000294,Humphreys,Geoffrey S.,G. S.,,,,,,
OAID-000295,Huxtable,Joan,J.,,,,,,
OAID-000296,James,Daniel,D.,,,,,,
OAID-000297,Jankowski,Nathan R.,N. R.,0000-0003-2846-1792,37072393800,,,,
OAID-000298,Jones,Rhys Maengwyn,R. M.,,,,,,
OAID-000299,Joyce,Laurence John,L. J.,,,,,,
OAID-000300,Kemp,Justine,J.,0000-0003-0472-6960,,,,,
OAID-000301,Kermode,Stephanie J.,S. J.,0000-0002-4390-1023,,,,,
OAID-000302,Kershaw,A. Peter,A. P.,0000-0002-9478-0567,57200393893,,,,
OAID-000303,Kiernan,Kevin,K.,,,,,,
OAID-000304,Kigoshi,Kunihiko,K.,,,,,,
OAID-000305,Kirk,Robert Lewis,R. L.,,,,,,
OAID-000306,Krapf,Carmen,C.,,,,,,
OAID-000307,Krueger,Harold W.,H. W.,,,,,,
OAID-000308,Lampert,Ronald J.,R. J.,,,,,,
