OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,AUTH_URL,URL_DATE
OAID-000677,Hättestrand,Clas,C.,,,,,,
OAID-000678,Hebenstreit,Robert,R.,,,,,,
OAID-000679,Hedrick,Kathryn A.,K. A.,,,,,,
OAID-000680,Nishiizumi,Kunihiko,K.,,,,,,
OAID-000681,Heine,Klaus,K.,,,,,,
OAID-000682,Henriksen,Mona,M.,0000-0001-5004-2012,,,,,
OAID-000683,Hodgdon,Taylor,T.,,,,,,
OAID-000684,Hodgson,Dominic A.,D. A.,0000-0002-3841-3746,,,,,
OAID-000685,Hofmann,Felix Martin,F. M.,0000-0002-9882-2613,,,,,
OAID-000686,Horiuchi,Kazuho,K.,0000-0003-3185-8766,,,,,
OAID-000687,Hormes,Anne,A.,0000-0002-7722-8252,,,,,
OAID-000688,Houmark-Nielsen,Michael,M.,0000-0001-6913-4283,,,,,
OAID-000689,Howle,James F.,J. F.,,,,,,
OAID-000690,Hu,Gang,G.,,,,,,
OAID-000691,Huang,Feixin,F.,,,,,,
OAID-000692,Hubert-Ferrari,Aurélia,A.,0000-0001-6381-1415,,,,,
OAID-000693,Hughes,Anna L. C.,A. L. C.,,,,,,
OAID-000694,Hughes,Philip D.,P. D.,0000-0002-8284-0219,57198347667,,,,
OAID-000695,Jeong,Ara,A.,0000-0002-0177-1187,36630647400,,,,
OAID-000696,Jomelli,Vincent,V.,,,,,,
OAID-000697,Jones,Richard Selwyn,R. S.,0000-0003-2988-0999,,,,,
OAID-000698,Joy,Kurt,K.,0000-0002-0803-2926,,,,,
OAID-000699,Karhu,Juha A.,J. A.,0000-0001-5631-5253,,,,,
OAID-000700,Kerschner,Hanns,H.,,,,,,
OAID-000701,Khandsuren,Purevmaa,P.,,,,,,
OAID-000702,Kirkbride,Martin,M.,0000-0002-7108-4382,,,,,
OAID-000703,Koester,Alexandria J.,A. J.,0000-0001-7666-8646,,,ORCID unconfirmed,,
OAID-000704,Koffmann,Tobias N. B.,T. N. B.,,,,,,
OAID-000705,Kohut,Daryl Lee,D. L.,,,,,,
OAID-000706,Kong,Ping,P.,,,,,,
OAID-000707,Koppes,Michéle,M.,0000-0003-0580-2718,,,,,
OAID-000708,Kronig,Olivia,O.,,,,,,
OAID-000709,Landvik,Jon Y.,J. Y.,,,,,,
OAID-000710,Lane,Timothy P.,T. P.,,,,,,
OAID-000711,Larsen,P. L.,P. L.,,,,,,
OAID-000712,Lasserre,Cecile,C.,0000-0002-0582-0775,,,,,
OAID-000713,Le Roux,Olivier,O.,,,,,,
OAID-000714,Le Roy,Melaine,M.,0000-0002-1886-6051,,,,,
OAID-000715,Lee,Su Young,S. Y.,,,,,,
OAID-000716,Lehmann,Benjamin,B.,,,,,,
OAID-000717,Leonard,Eric M.,E. M.,,,,,,
OAID-000718,Lesnek,Alia J.,A. J.,0000-0001-6094-7472,,,ORCID unconfirmed,,
OAID-000719,Leydet,David J.,D. J.,,,,,,
OAID-000720,Li,Yanan,Y.,,,,,,
OAID-000721,Lifton,Nathaniel,N.,0000-0002-6976-3298,,,,,
OAID-000722,Lilly,Kat,K.,0000-0002-2225-4648,,,,,
OAID-000723,Lindow,Julia,J.,,,,,,
OAID-000724,Linge,Henriette,H.,0000-0002-6069-5348,,,,,
OAID-000725,Liu,Xiaohan,X.,,,,,,
OAID-000726,Liu,Jinhua,J.,,,,,,
OAID-000727,Liu,Beibei,B.,,,,,,
OAID-000728,Livingstone,Stephen J.,S. J.,0000-0002-7240-5037,,,,,
OAID-000729,Lowell,Thomas V.,T. V.,0000-0001-7826-0636,,,,,
OAID-000730,Lukas,Sven,S.,,,,,,
OAID-000731,Luna,Lisa V.,L. V.,0000-0002-9889-4262,,,,,
OAID-000732,Mackintosh,Andrew,A.,0000-0002-6430-4711,,,,,
OAID-000733,Makos,Michal,M.,,,,,,
OAID-000734,Marcott,Shaun A.,S. A.,,,,,,
OAID-000735,Margreth,Annina,A.,0000-0002-6055-7316,,,,,
OAID-000736,Marquette,Geneviéve C.,G. C.,,,,,,
OAID-000737,Marr,Philipp,P.,0000-0002-8037-1017,,,,,
OAID-000738,Marsella,Kimberly A.,K. A.,,,,,,
OAID-000739,Martin,Léo C. P.,L. C. P.,,,,,,
OAID-000740,Martini,Mateo A.,M. A.,0000-0003-1704-9313,,,,,
OAID-000741,Mathers,Hannah,H.,0000-0002-8577-1896,,,,,
OAID-000742,Matsuoka,Norikazu,M.,0000-0003-2832-179X,,,,,
OAID-000743,Matthews,John A.,J. A.,,,,,,
OAID-000744,McCarroll,Danny,D.,0000-0002-5992-5070,,,,,
OAID-000745,McCarthy,Andrew,A.,,,,,,
OAID-000746,McCormack,Deborah C.,D. C.,,,,,,
OAID-000747,McCuaig,Shirley J.,S. J.,,,,,,
OAID-000748,McCulloch,Robert D.,R. D.,0000-0001-5542-3703,,,,,
OAID-000749,McQuinn,Melaine Lynn,M. L.,,,,,,
OAID-000750,Mendelova,Monika,M.,,,,,,
OAID-000751,Menounos,Brian,B.,0000-0002-3370-4392,,,,,
OAID-000752,Mentlík,Pavel,P.,0000-0002-6068-8615,,,,,
OAID-000753,Mercier,Jean-Luc,J.-L.,,,,,,
OAID-000754,Mériaux,Anne-Sophie,A.-S.,0000-0002-5112-0948,,,,,
OAID-000755,Meyer,Michael C.,M. C.,,,,,,
OAID-000756,Middleton,Jennifer L.,J. L.,,,,,,
OAID-000757,Möller,Per,P.,,,,,,
OAID-000758,Moran,Andrew P.,A. P.,,,,,,
OAID-000759,Moreiras,Stella M.,S. M.,0000-0001-6462-6684,,,,,
OAID-000760,Moreno,Patricio I.,P. I.,0000-0002-1333-6238,,,,,
OAID-000761,Morgan,Daniel J.,D. J.,,,,,,
OAID-000762,Mukhopadhyay,Sujoy,S.,,,,,,
OAID-000763,Munroe,Jeffrey S.,J. S.,,,,,,
OAID-000764,Murari,Madhav K.,M. K.,0000-0001-5217-2275,,,,,
OAID-000765,Murray,Daniel S.,D. S.,,,,,,
OAID-000766,Nelson,Alice H.,A. H.,,,,,,
OAID-000767,Nesje,Atle,A.,0000-0001-8508-5805,,,,,
OAID-000768,Nimick,David A.,D. A.,0000-0002-8532-9192,,,,,
OAID-000769,Nývlt,Daniel,D.,0000-0002-6876-490X,,,,,
OAID-000770,O'Hara,Sandra L.,S. L.,,,,,,
OAID-000771,Oberholzer,Peter,P.,,,,,,
OAID-000772,Orr,Elizabeth N.,E. N.,0000-0001-6773-0321,,,,,
OAID-000773,Paasche,Øyvind,Ø.,0000-0003-0329-9063,,,,,
OAID-000774,Palacios,David,D.,0000-0002-8289-0398,,,,,
OAID-000775,Pallàs,Raimon,R.,,,,,,
OAID-000776,Paus,Aage,A.,,,,,,
OAID-000777,Pendleton,Simon L.,S. L.,0000-0002-4491-7764,,,,,
OAID-000778,Peng,Xu,X.,,,,,,
OAID-000779,Philipps,William,W.,0000-0002-9136-9617,,,,,
OAID-000780,Philipps,Fred M.,F. M.,,,,,,
OAID-000781,Pierce,Ian K. D.,I. K. D.,0000-0002-1865-2512,,,,,
OAID-000782,Porreca,Charles,C.,,,,,,
OAID-000783,Pötsch,Steffen,S.,,,,,,
OAID-000784,Pratt-Sitaula,Beth,B.,,,,,,
OAID-000785,Protin,Marie,M.,,,,,,
OAID-000786,Prud'homme,Charlotte,C.,,,,,,
OAID-000787,Quirk,Brendon J.,B. J.,,,,,,
OAID-000788,Rainsley,Eleanor,E.,,,,,,
OAID-000789,Rand,Cari,C.,,,,,,
OAID-000790,Refsnider,Kurt A.,K. A.,,,,,,
OAID-000791,Reitner,Jürgen M.,J. M.,0000-0001-6190-6736,,,,,
OAID-000792,Reusche,Melissa M.,M.,0000-0002-8456-4537,,,,,
OAID-000793,Reuther,Anne U.,A. U.,,,,,,
OAID-000794,Reynhout,Scott A.,S. A.,,,,,,
OAID-000795,Rhee,Hyun Hee,H. H.,,,,,,
OAID-000796,Ribolini,Adriano,A.,0000-0001-5851-8775,,,,,
OAID-000797,Rice,Jessey M.,J. M.,0000-0001-5668-4024,,,ORCID unconfirmed,,
OAID-000798,Roberts,David H.,D. H.,,,,,,
OAID-000799,Rodés Bolumburu,Ángel,Á.,0000-0001-8488-7689,,,,,
OAID-000800,Rodríguez-Rodríguez,Laura,L.,0000-0002-8454-3816,,,,,
OAID-000801,Röhringer,Ines,I.,,,,,,
OAID-000802,Rolfe,Christopher J.,C. J.,,,,,,
OAID-000803,Romundset,Anders,A.,0000-0002-2197-9815,,,,,
OAID-000804,Rood,Dylan H.,D. H.,,,,,,
OAID-000805,Rother,Henrik,H.,,,,,,
OAID-000806,Rulemann,Chester A.,C. A.,0000-0002-1503-4591,,,,,
OAID-000807,Ruszkiczay-Rüdiger,Zsófia,Z.,0000-0001-9454-732X,,,,,
OAID-000808,Sagredo,Esteban A.,E. A.,0000-0002-4494-5423,,,,,
OAID-000809,Saha,Sourav,S.,0000-0001-7106-2936,,,,,
OAID-000810,Sanchez,Guillaume,G.,0000-0002-9191-4259,,,,,
OAID-000811,Schaefer,Joerg M.,J. M.,0000-0002-6358-7115,,,,,
OAID-000812,Schimmelpfennig,Irene,I.,0000-0001-8145-9160,,,,,
OAID-000813,Schindelwig,Inga,I.,,,,,,
OAID-000814,Schwartz,Stéphane,S.,,,,,,
OAID-000815,Schweinsberg,Avriel D.,A. D.,0000-0001-7374-5706,,,,,
OAID-000816,Seong,Yeong Bae,Y. B.,0000-0001-6605-3912,,,,,
OAID-000817,Shakesby,Richard A.,R. A.,,,,,,
OAID-000818,Shakun,Jeremy D.,J. D.,,,,,,
OAID-000819,Sinclair,Gaylen,G.,,,,,,
OAID-000820,Small,David,D.,,,,,,
OAID-000821,Smedley,Rachel K.,R. K.,0000-0001-7773-5193,,,,,
OAID-000822,Smellie,John L.,J. L.,,,,,,
OAID-000823,Smith,Jacqueline A.,J. A.,,,,,,
OAID-000824,Smith,Colby A.,C. A.,,,,,,
OAID-000825,Smith,Stephen G.,S. G.,,,,,,
OAID-000826,Søndergaard,Anne Sofie,A. S.,0000-0002-3846-0374,,,ORCID unconfirmed,,
OAID-000827,Spector,Perry,P.,,,,,,
OAID-000828,Staiger,Jane K. W.,J. K. W.,,,,,,
OAID-000829,Standell,Matthew R.,M. R.,0000-0001-9438-2596,,,,,
OAID-000830,Stansell,Nathan D.,N. D.,,,,,,
OAID-000831,Steig,Eric J.,E. J.,,,,,,
OAID-000832,Storey,Bryan C.,B. C.,,,,,,
OAID-000833,Strand,Peter D.,P. D.,,,,,,
OAID-000834,Strasky,Stefan,S.,,,,,,
OAID-000835,Strelin,Jorge A.,J. A.,0000-0002-3889-2580,,,,,
OAID-000836,Stroup,Justin S.,J. S.,,,,,,
OAID-000837,Strub,Erik,E.,,,,,,
OAID-000838,Stübner,Konstanze,K.,0000-0001-7473-9033,,,,,
OAID-000839,Suganuma,Yusuke,Y.,0000-0003-3516-1317,,,,,
OAID-000840,Sutherland,Rupert,R.,0000-0001-7430-0055,,,,,
OAID-000841,Svendsen,John Inge,J. I.,,,,,,
OAID-000842,Terrizzano,Carla M.,C. M.,,,,,,
OAID-000843,Thackray,Glenn D.,G. D.,0000-0002-4981-6815,,,,,
OAID-000844,Thorndycraft,Varyl R.,V. R.,0000-0003-4564-2456,,,ORCID unconfirmed,,
OAID-000845,Todd,Claire,C.,,,,,,
OAID-000846,Tulenko,Joseph P.,J. P.,0000-0002-0560-6816,,,,,
OAID-000847,Tylmann,Karol,K.,0000-0002-0928-990X,,,,,
OAID-000848,Ullmann,David J.,D. J.,,,,,,
OAID-000849,Utting,Daniel J.,D. J.,,,,,,
OAID-000850,Valentino,Joshua David,J. D.,,,,,,
OAID-000851,Valletta,Rachel D.,R. D.,0000-0001-9536-7099,,,,,
OAID-000852,Van der Wateren,Frederik M.,F. M.,,,,,,
OAID-000853,Wang,Jie,J.,,,,,,
OAID-000854,Ward,Dylan J.,D. J.,0000-0002-5741-7830,,,,,
OAID-000855,Ward,Brent C.,B. C.,0000-0001-6482-7283,,,,,
OAID-000856,Welten,Kees C.,K.C.,0000-0001-8577-6753,,,,,
OAID-000857,Wesnousky,Steven G.,S. G.,,,,,,
OAID-000858,White,Duanne A.,D. A.,0000-0003-0740-2072,,,,,
OAID-000859,Wang,Jian,J.,,,,,,
OAID-000860,Winkler,Stefan,S.,,,,,,
OAID-000861,Winsor,Kelsey,K.,0000-0003-2687-7428,,,,,
OAID-000862,Wirsig,Christian,C.,0000-0001-5841-0959,,,,,
OAID-000863,Wüthrich,Lorenz,L.,0000-0001-8397-6612,57194622087,,,,
OAID-000864,Xu,Xiangke,X.,,,,,,
OAID-000865,Yamane,Masako,M.,0000-0002-5063-0719,,,,,
OAID-000866,Zahno,Conradin,C.,,,,,,
OAID-000867,Zhang,Zhigang,Z.,,,,,,
OAID-000868,Zhang,Mei,M.,,,,,,
OAID-000869,Zhang,Wei,W.,,,,,,
OAID-000870,Zhang,Qian,Q.,,,,,,
OAID-000871,Zhou,Shangzhe,S.,,,,,,
OAID-000872,Çiner,Attila,A.,0000-0002-6755-8426,,K-7531-2018,,,
OAID-000873,García-Ruiz,José M.,J. M.,,,,,,
OAID-000874,Kleman,Johan,J.,,,,,,
OAID-000875,Peltonen,Veikko,V.,,,,,,
OAID-000876,Skov,Daniel Søndergaard,D. S.,,,,,,
OAID-000877,Zasadni,Jerzy,J.,0000-0001-6231-3318,,,,,
OAID-000878,Bartley,Rebecca,R.,0000-0001-9471-5354,,A-5850-2009,,,
OAID-000879,Hughes,Andrew O.,A. O.,0000-0001-8839-8524,7401765851,F-1271-2013,,,
OAID-000880,Kemp,Christopher W.,C. W.,0000-0003-3185-2647,,,,,
OAID-000881,Lam,Daryl,D.,,,,,,
OAID-000882,Lewis,Richard J.,R. J.,0000-0002-6575-8483,,,,,
OAID-000883,McCloskey,Gillian L.,G. L.,,,,,,
OAID-000884,Neudorf,Christina M.,C. M.,0000-0002-4449-2655,,,,,
OAID-000885,Reid,Michael A.,M. A.,0000-0002-3948-9347,7402596379,,,,
OAID-000886,Shellberg,Jeffrey G.,J. G.,0000-0002-1192-0510,,,ORCID unconfirmed,,
OAID-000887,Walker,Joe,J.,,,,,,
OAID-000888,Pfeifer,Daniel,D.,0000-0001-9238-5072,57206721481,,,,
OAID-000889,Bellingham,Maia Fern,M. F.,,,,,,
OAID-000890,Brardinoni,Francesco,F.,0000-0002-3525-3599,,,,,
OAID-000891,Brocard,Gilles Y.,G. Y.,0000-0002-0997-2995,,,,,
OAID-000892,Konyana,Sibusiso,S.,0000-0003-1730-0328,,,ORCID unconfirmed,,
OAID-000893,Vermeesch,Pieter,P.,0000-0003-3404-1209,,,,,
OAID-000894,Moore,Angus K.,A. K.,0000-0002-7334-6796,,,ORCID unconfirmed,,
OAID-000895,Lenard,Sebastien J. P.,S. J. P.,0000-0003-3358-7197,,C-5195-2015,,,
OAID-000896,ANUAC (Corp.) ANU Archaeological Consultancies,,,,,,,,
OAID-000897,AUSTRAL (Corp.) Austral/Godden_Mackay,,,,,,GML is legal AUSTRAL successor,https://www.gml.com.au,14.02.23
OAID-000898,Bermingham,Anne,A.,,,,,,
OAID-000899,Berryman,Annette,A.,,,,,,
OAID-000900,Brayshaw,Helen,H.,,,,,,
OAID-000901,Clegg,John,J.,,,,,,
OAID-000902,Dallas,Mary,M.,,,,,,
OAID-000903,Dickson,F. P.,F. P.,,,,,,
OAID-000904,Domett,K. M.,K. M.,,,,,,
OAID-000905,Donlon,Denise,D.,0000-0003-1987-240X,,,,,
OAID-000906,Dragovich,Deirdre,D.,,,,,,
OAID-000907,Duyker,Samuel,S.,,,,,,
OAID-000908,Dyall,L. K.,L. K.,,,,,,
OAID-000909,Ferrier,Åsa,A.,0000-0001-8399-3674,,,,,
OAID-000910,Gaughwin,Denise,D.,,,,,,
OAID-000911,Green,J. H.,J. H.,,,,,,
OAID-000912,Haglund,Laila,L.,,,,,,
OAID-000913,Haworth,Robert,R.,,,,,,
OAID-000914,Head,John,J.,,,,,,
OAID-000915,Hill,Tim,T.,,,,,,
OAID-000916,Koettig,Margit,M.,,,,,,
OAID-000917,Kuskie,Peter J.,P. J.,,,,,,
OAID-000918,Macintosh,N. W. G.,N. W. G.,,,,,,
OAID-000919,Martin,Gavin,G.,,,,,,
OAID-000920,Megaw,John Vincent Stanley,J. V. S.,,,,,,
OAID-000921,Navin,Kerry,K.,,,,,,
OAID-000922,O'Donnell,G.,G.,,,,,,
OAID-000923,Officer,Kelvin,K.,,,,,,
OAID-000924,Orchiston,D. Wayne,D. W.,,,,,,
OAID-000925,Ossa,Paul,P.,,,,,,
OAID-000926,Pardoe,Colin,C.,,6601992901,,,,
OAID-000927,Reber,Grote,G.,,,,,,
OAID-000928,Rich,Elizabeth,E.,,,,,,
OAID-000929,Ross,Anne,A.,,,,,,
OAID-000930,Smith,Laurajane,L.,,,,,,
OAID-000931,Snelson,W. J.,W. J.,,,,,,
OAID-000932,Stockton,Eugene D.,E. D.,,,,,,
OAID-000933,Wheeler,Jim S.,J. S.,,,,,,
OAID-000934,Yamasaki,Fumio,F.,,,,,,
OAID-000935,Price,David M.,D. M.,,,,,,
OAID-000936,Barber,Matthew,M.,,,,,,
OAID-000937,Barham,Anthony J.,A. J.,,,,,,
OAID-000938,Blackwood,Robert,R.,,,,,,
OAID-000939,Clarke,C.,C.,,,,,,
OAID-000940,Ferguson,W. C.,W. C.,,,,,,
OAID-000941,Gallus,A.,A.,,,,,,
OAID-000942,Hotchin,K. L.,K. L.,,,,,,
OAID-000943,Joyce,Edmund Bernard,E. B.,,,,,,
OAID-000944,Nobbs,Margaret,M.,,,,,,
OAID-000945,RPS (Corp.),,,,,,,https://www.rpsgroup.com,14.02.23
OAID-000946,Tunn,John,J.,,,,,,
OAID-000947,Wallace,Sandra,S.,,,,,,
OAID-000948,Williams,Doug,D.,0000-0002-0399-4261,,,,,
OAID-000949,Kamminga,Johan,J.,,,,,,
OAID-000950,Clark,Dan,D.,0000-0001-5387-4404,,D-4025-2014,,,
OAID-000951,Alfredson,Gillian,G.,,,,,,
OAID-000952,Bindon,R. Peter,R. P.,,36911269500,,SCOPUSID unconfirmed,,
OAID-000953,Blackwell,Anne,A.,,,,,,
OAID-000954,Border,Andrew,A.,,,,,,
OAID-000955,Bordes,François,F.,,35258183000,,,,
OAID-000956,Bradshaw,Elizabeth,E.,,,,,,
OAID-000957,Burke,Christine,C.,,,,,,
OAID-000958,Canning,Shaun,S.,0000-0002-9453-688X,,,,,
OAID-000959,Dowling,Peter J.,P. J.,0000-0002-2940-0206,26642945500,,,,
OAID-000960,du Cros,Hilary,H.,,,,,,
OAID-000961,Dunnett,Gary,G.,,,,,,
OAID-000962,Freslov,Joanna,J.,,57217383641,,,,
OAID-000963,Hall,R.,R.,,,,,,
OAID-000964,Hallam,Sylvia J.,S. J.,,24556042000,,,,
OAID-000965,Hendy,Chris H.,C. H.,,6701320145,,SCOPUSID unconfirmed,,
OAID-000966,McPhail,S. M.,S. M.,,,,,,
OAID-000967,Pearce,R. H.,R. H.,,,,,,
OAID-000968,Pemberton,Michael,M.,,24784879200,,SCOPUSID unconfirmed,,
OAID-000969,Pocock,Celmara,C.,0000-0003-3257-9689,13608883300,T-1615-2017,,,
OAID-000970,Prendergast,Amy L.,A. L.,0000-0002-4970-9956,25633158200,B-4421-2019,,,
OAID-000971,Rhodes,D.,D.,,,,,,
OAID-000972,Rhodes,Edward J.,E. J.,,7103399715,,,,
OAID-000973,Ridges,Malcom,M.,0000-0001-8075-2779,,,ORCID unconfirmed,,
OAID-000974,Ross,Annie,A.,,24367261800,,SCOPUSID unconfirmed,,
OAID-000975,Rowland,Michael J.,M. J.,0000-0003-3917-1344,36662818100,,,,
OAID-000976,Sagona,Antonio G.,A. G.,,6504217876,,,,
OAID-000977,Schell,P.,P.,,,,,,
OAID-000978,Vanderwal,Ronald L.,R. L.,,,,,,
OAID-000979,Walters,Ian,I.,,36831390800,,SCOPUSID unconfirmed,,
OAID-000980,AIAS (Corp.) Australian Institute of Advanced Studies,,,,,,,https://www.aias.edu.au,14.02.23
OAID-000981,Adeleye,Matthew Adesanya,M. A.,0000-0002-6034-5807,,,,,
OAID-000982,Beck,Kristen K.,K. K.,0000-0002-8257-9639,,,,,
OAID-000983,Clark,Robin Lorraine,R. L.,,7406318637,,SCOPUSID unconfirmed,,
OAID-000984,Dam,Marinus Adrianus Cornelis,M. A. C.,,36868867700,,,,
OAID-000985,D'Costa,Donna M.,D. M.,,7004248790,,,,
OAID-000986,Donders,Timme H.,T. H.,0000-0003-4698-3463,6506929246,,,,
OAID-000987,Dyson,W. D.,W. D.,,,,,,
OAID-000988,Flenley,John R.,J. R.,,7003668250,,,,
OAID-000989,Fletcher,Michael-Shawn,M. S.,0000-0002-1854-5629,57195670646,,,,
OAID-000990,Green,David,D.,,,,,,
OAID-000991,Harle,Katherine J.,K. J.,,6603647210,,,,
OAID-000992,Hopf,Felicitas Victoria-Louise,F. V. L.,0000-0001-5770-308X,36681113000,,,,
OAID-000993,Martin,Helene A.,H. A.,,,,,,
OAID-000994,McGlone,Matt S.,M. S.,0000-0002-8130-5724,7005591080,,,,
OAID-000995,Kennett,Douglas,D.,,35571732400,,,,
OAID-000996,Macphail,Michael K.,M. K.,0000-0001-5639-4959,7004272562,,,,
OAID-000997,Mariani,Michela,M.,0000-0003-1996-3694,57146664800,,,,
OAID-000998,McWethy,David B.,D. B.,0000-0003-3879-4865,13409804600,,,,
OAID-000999,Rehn,Emma,E.,,57211568539,,,,
OAID-001000,Saktura,Wanchese Mateusz,W. M.,0000-0002-7198-7776,57196484427,,,,
OAID-001001,Oakes,G. M.,G. M.,,,,,,
OAID-001002,Prebble,Matthew,M.,0000-0001-8577-7190,36752990300,,,,
OAID-001003,Raine,James Ian,J. I.,0000-0001-5294-2102,700628188,,,,
OAID-001004,Southern,Wendy,W.,,,,,,
OAID-001005,Thomas,Ian,I.,,7102515049,,,,
OAID-001006,van der Kaars,Sander,S.,0000-0002-2511-0439,57191595169,,is W. A. van der Kaars,,
OAID-001007,Morley,Robert J.,R. J.,,7103389116,,,,
OAID-001008,Field,Emily,E.,,57193381104,,,,
OAID-001009,Moss,Patrick T.,P. T.,0000-0003-1546-9242,7103406151,,,,
OAID-001010,Erlanger,Erica Danielle,E. D.,0000-0003-1201-7961,55469989300,,,,
OAID-001011,Grande,Alexandra,A.,,57222252282,,,,
OAID-001012,Hu,Kai,K.,,57222353686,,,,
OAID-001013,Lee,Cho-Hee,C. H.,,57221552969,,,,
OAID-001014,Makhubela,Tebogo V.,T. V.,0000-0002-6797-8359,56862192000,,,,
OAID-001015,Shi,Xiaohui,X.,0000-0002-6104-052X,57212786574,,,,
OAID-001016,Yang,Ye,Y.,0000-0003-1568-433X,,,ORCID unconfirmed,,
OAID-001017,Zhang,Xiao-Long,X. L.,,,,,,
OAID-001018,Forte,Adam Matthew,A. M.,0000-0003-4515-7792,16309458600,,,,
OAID-001019,VanLandingham,Leah,L.,,,,,,
OAID-001020,Campbell,Mae Kate,M. K.,0000-0003-1885-2511,,,,,
OAID-001021,da Silva Guimarães,Ewerton,E.,0000-0002-7810-0015,57237013900,,,,
OAID-001022,Serra,Elena,E.,0000-0002-3049-8570,,,,,
OAID-001023,Ambrose,Wallace R.,W. R.,,7004451191,,,,
OAID-001024,Anderson,Atholl,A.,,7403368938,,,,
OAID-001025,Anson,Dimitri,D.,0000-0003-1467-1932,7004548757,,,,
OAID-001026,Bafmatuk,F.,F.,,,,,,
OAID-001027,Ballard,Chris,C.,0000-0002-8455-6908,8787652800,C-2356-2016,,,
OAID-001028,Barstra,Gert-Jan,G.-J.,,,,,,
OAID-001029,Barton,Huw,H.,0000-0002-3720-5435,56275123500,,,,
OAID-001030,Bayliss-Smith,Tim,T.,0000-0002-6680-2511,6602838970,,,,
OAID-001031,Beaumont,Phillip,P.,0000-0002-5180-6480,,,,,
OAID-001032,Beavan Athfield,Nancy,N.,0000-0001-5649-0430,7801564500,,,,
OAID-001033,Bedford,Stuart H.,S. H.,0000-0001-6476-5617,57204338462,,,,
OAID-001034,Bickler,Simon Hillel,S. H.,0000-0001-7620-2862,24168023600,,,,
OAID-001035,Bird,J. R.,J. R.,,,,,,
OAID-001036,Blong,R. J.,R. J.,,,,,,
OAID-001037,Bulbeck,David,D.,0000-0002-9733-6509,8891931300,,,,
OAID-001038,Bulmer,Susan,S.,,6603036679,,,,
OAID-001039,Burenhult,Göran,G.,,,,,,
OAID-001040,Cath-Garling,Stephanie,S.,,,,is Stephanie Garling (OAID-001058),,
OAID-001041,Christensen,O. A.,O. A.,,,,,,
OAID-001042,Clark,Geoffrey,G.,0000-0002-9055-655X,402874875,,,,
OAID-001043,Clarke,Simon,S.,,36780378200,,,,
OAID-001044,Cox,Gillian,G.,,,,,,
OAID-001045,Specht,Jim,J.,0000-0001-8427-6650,7005500513,,,,
OAID-001046,Swadling,Pamela,P.,,25224447900,,,,
OAID-001047,Petchey,Fiona,F.,0000-0002-3308-9983,6507784715,O-9963-2017,,,
OAID-001048,Davidson,Janet M.,J. M.,,7403932668,,,,
