PROJEPSGID,PROJECTION,CREATED_AT,UPDATED_AT
-9999,NA,19.11.21,
32601,WGS84_UTM_01N,19.11.21,
32602,WGS84_UTM_02N,19.11.21,
32603,WGS84_UTM_03N,19.11.21,
32604,WGS84_UTM_04N,19.11.21,
32605,WGS84_UTM_05N,19.11.21,
32606,WGS84_UTM_06N,19.11.21,
32607,WGS84_UTM_07N,19.11.21,
32608,WGS84_UTM_08N,19.11.21,
32609,WGS84_UTM_09N,19.11.21,
32610,WGS84_UTM_10N,19.11.21,
32611,WGS84_UTM_11N,19.11.21,
32612,WGS84_UTM_12N,19.11.21,
32613,WGS84_UTM_13N,19.11.21,
32614,WGS84_UTM_14N,19.11.21,
32615,WGS84_UTM_15N,19.11.21,
32616,WGS84_UTM_16N,19.11.21,
32617,WGS84_UTM_17N,19.11.21,
32618,WGS84_UTM_18N,19.11.21,
32619,WGS84_UTM_19N,19.11.21,
32620,WGS84_UTM_20N,19.11.21,
32621,WGS84_UTM_21N,19.11.21,
32622,WGS84_UTM_22N,19.11.21,
32623,WGS84_UTM_23N,19.11.21,
32624,WGS84_UTM_24N,19.11.21,
32625,WGS84_UTM_25N,19.11.21,
32626,WGS84_UTM_26N,19.11.21,
32627,WGS84_UTM_27N,19.11.21,
32628,WGS84_UTM_28N,19.11.21,
32629,WGS84_UTM_29N,19.11.21,
32630,WGS84_UTM_30N,19.11.21,
32631,WGS84_UTM_31N,19.11.21,
32632,WGS84_UTM_32N,19.11.21,
32633,WGS84_UTM_33N,19.11.21,
32634,WGS84_UTM_34N,19.11.21,
32635,WGS84_UTM_35N,19.11.21,
32636,WGS84_UTM_36N,19.11.21,
32637,WGS84_UTM_37N,19.11.21,
32638,WGS84_UTM_38N,19.11.21,
32639,WGS84_UTM_39N,19.11.21,
32640,WGS84_UTM_40N,19.11.21,
32641,WGS84_UTM_41N,19.11.21,
32642,WGS84_UTM_42N,19.11.21,
32643,WGS84_UTM_43N,19.11.21,
32644,WGS84_UTM_44N,19.11.21,
32645,WGS84_UTM_45N,19.11.21,
32646,WGS84_UTM_46N,19.11.21,
32647,WGS84_UTM_47N,19.11.21,
32648,WGS84_UTM_48N,19.11.21,
32649,WGS84_UTM_49N,19.11.21,
32650,WGS84_UTM_50N,19.11.21,
32651,WGS84_UTM_51N,19.11.21,
32652,WGS84_UTM_52N,19.11.21,
32653,WGS84_UTM_53N,19.11.21,
32654,WGS84_UTM_54N,19.11.21,
32655,WGS84_UTM_55N,19.11.21,
32656,WGS84_UTM_56N,19.11.21,
32657,WGS84_UTM_57N,19.11.21,
32658,WGS84_UTM_58N,19.11.21,
32659,WGS84_UTM_59N,19.11.21,
32660,WGS84_UTM_60N,19.11.21,
32701,WGS84_UTM_01S,19.11.21,
32702,WGS84_UTM_02S,19.11.21,
32703,WGS84_UTM_03S,19.11.21,
32704,WGS84_UTM_04S,19.11.21,
32705,WGS84_UTM_05S,19.11.21,
32706,WGS84_UTM_06S,19.11.21,
32707,WGS84_UTM_07S,19.11.21,
32708,WGS84_UTM_08S,19.11.21,
32709,WGS84_UTM_09S,19.11.21,
32710,WGS84_UTM_10S,19.11.21,
32711,WGS84_UTM_11S,19.11.21,
32712,WGS84_UTM_12S,19.11.21,
32713,WGS84_UTM_13S,19.11.21,
32714,WGS84_UTM_14S,19.11.21,
32715,WGS84_UTM_15S,19.11.21,
32716,WGS84_UTM_16S,19.11.21,
32717,WGS84_UTM_17S,19.11.21,
32718,WGS84_UTM_18S,19.11.21,
32719,WGS84_UTM_19S,19.11.21,
32720,WGS84_UTM_20S,19.11.21,
32721,WGS84_UTM_21S,19.11.21,
32722,WGS84_UTM_22S,19.11.21,
32723,WGS84_UTM_23S,19.11.21,
32724,WGS84_UTM_24S,19.11.21,
32725,WGS84_UTM_25S,19.11.21,
32726,WGS84_UTM_26S,19.11.21,
32727,WGS84_UTM_27S,19.11.21,
32728,WGS84_UTM_28S,19.11.21,
32729,WGS84_UTM_29S,19.11.21,
32730,WGS84_UTM_30S,19.11.21,
32731,WGS84_UTM_31S,19.11.21,
32732,WGS84_UTM_32S,19.11.21,
32733,WGS84_UTM_33S,19.11.21,
32734,WGS84_UTM_34S,19.11.21,
32735,WGS84_UTM_35S,19.11.21,
32736,WGS84_UTM_36S,19.11.21,
32737,WGS84_UTM_37S,19.11.21,
32738,WGS84_UTM_38S,19.11.21,
32739,WGS84_UTM_39S,19.11.21,
32740,WGS84_UTM_40S,19.11.21,
32741,WGS84_UTM_41S,19.11.21,
32742,WGS84_UTM_42S,19.11.21,
32743,WGS84_UTM_43S,19.11.21,
32744,WGS84_UTM_44S,19.11.21,
32745,WGS84_UTM_45S,19.11.21,
32746,WGS84_UTM_46S,19.11.21,
32747,WGS84_UTM_47S,19.11.21,
32748,WGS84_UTM_48S,19.11.21,
32749,WGS84_UTM_49S,19.11.21,
32750,WGS84_UTM_50S,19.11.21,
32751,WGS84_UTM_51S,19.11.21,
32752,WGS84_UTM_52S,19.11.21,
32753,WGS84_UTM_53S,19.11.21,
32754,WGS84_UTM_54S,19.11.21,
32755,WGS84_UTM_55S,19.11.21,
32756,WGS84_UTM_56S,19.11.21,
32757,WGS84_UTM_57S,19.11.21,
32758,WGS84_UTM_58S,19.11.21,
32759,WGS84_UTM_59S,19.11.21,
32760,WGS84_UTM_60S,19.11.21,