SITECODEID,SITECODE,CREATED_AT,UPDATED_AT,PARENTID,SITEDESCR
-9999,no data,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:53.093 +1000,-9999,
1,Stone artefact deposit,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:53.503 +1000,15,
2,Burial (animal),2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:53.811 +1000,15,
3,Burial (human),2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:54.113 +1000,15,
4,Cemetery,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:54.415 +1000,15,
5,Earth mound,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:54.715 +1000,15,
6,Hearth (isolated),2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:55.016 +1000,15,
7,Shell midden,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:55.317 +1000,15,
8,Open site,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:55.618 +1000,15,
9,Quarry,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:55.919 +1000,15,
10,Rock art,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:56.221 +1000,15,
11,Rockshelter or cave,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:56.523 +1000,15,
12,Culturally modified tree,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:56.826 +1000,15,
13,Stone structure,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:57.129 +1000,15,
14,Anthropogenic,2023-04-20 00:17:38.794 +1000,2023-04-20 00:31:57.430 +1000,14,
15,Archaeological,2023-04-20 00:17:49.840 +1000,2023-04-20 00:31:57.733 +1000,14,
16,Modern (anthropogenic),2023-04-20 00:18:02.135 +1000,2023-04-20 00:31:58.034 +1000,14,
17,"Anthrosol, Technosol",2023-04-20 00:18:15.840 +1000,2023-04-20 00:31:58.336 +1000,14,
18,"Tailings, Dump",2023-04-20 00:18:29.353 +1000,2023-04-20 00:31:58.639 +1000,14,
19,Other,2021-11-19 22:11:05.011 +1100,2023-04-20 00:31:58.941 +1000,15,
20,Occupation debris (indet.),2023-04-20 00:39:10.723 +1000,,14,
21,Natural,2023-04-20 00:39:10.723 +1000,,21,
22,Terrestrial (indet.),2023-04-20 00:39:10.723 +1000,,21,
23,Soil (indet.),2023-04-20 00:39:10.723 +1000,,22,
24,Aeolian origin,2023-04-20 00:39:10.723 +1000,,21,
25,Fluvial origin,2023-04-20 00:39:10.723 +1000,,21,
26,Alluvial ,2023-04-20 00:39:10.723 +1000,,25,
27,Colluvial,2023-04-20 00:39:10.723 +1000,,22,
28,Lacustrine origin,2023-04-20 00:39:10.723 +1000,,21,
29,Coastal origin,2023-04-20 00:39:10.723 +1000,,21,
30,Marine origin,2023-04-20 00:39:10.723 +1000,,21,
31,Glacial origin,2023-04-20 00:39:10.723 +1000,,22,
32,Biogenic origin,2023-04-20 00:39:10.723 +1000,,32,
33,Animal origin,2023-04-20 00:39:10.723 +1000,,32,
34,Palaeosol,2023-04-20 00:39:10.723 +1000,,22,
35,Flat (indet.),2023-04-20 00:39:10.723 +1000,,35,
36,Slope (indet.),2023-04-20 00:39:10.723 +1000,,22,
37,Slope (concave),2023-04-20 00:39:10.723 +1000,,22,
38,Slope (convex),2023-04-20 00:39:10.723 +1000,,22,
39,Small hollow,2023-04-20 00:39:10.723 +1000,,22,
40,Mound,2023-04-20 00:39:10.723 +1000,,22,
41,Cave (indet.),2023-04-20 00:39:10.723 +1000,,22,
42,Talus cone,2023-04-20 00:39:10.723 +1000,,22,
43,Slope wash,2023-04-20 00:39:10.723 +1000,,22,
44,Terrace (indet.),2023-04-20 00:39:10.723 +1000,,22,
45,Terrace (fluvial),2023-04-20 00:39:10.723 +1000,,25,
46,Crevasse splay,2023-04-20 00:39:10.723 +1000,,25,
47,Estuarine,2023-04-20 00:39:10.723 +1000,,29,
48,Salt marsh,2023-04-20 00:39:10.723 +1000,,29,
49,Marsh,2023-04-20 00:39:10.723 +1000,,35,
50,Playa,2023-04-20 00:39:10.723 +1000,,28,
51,Floodplain (indet.),2023-04-20 00:39:10.723 +1000,,25,
52,Delta (indet.),2023-04-20 00:39:10.723 +1000,,25,
53,Channel (indet.),2023-04-20 00:39:10.723 +1000,,25,
54,Overbank deposit,2023-04-20 00:39:10.723 +1000,,25,
55,Levee,2023-04-20 00:39:10.723 +1000,,25,
56,Lake,2023-04-20 00:39:10.723 +1000,,28,
57,Pond,2023-04-20 00:39:10.723 +1000,,28,
58,Bog,2023-04-20 00:39:10.723 +1000,,22,
59,Fen,2023-04-20 00:39:10.723 +1000,,22,
60,Mire,2023-04-20 00:39:10.723 +1000,,22,
61,Peat,2023-04-20 00:39:10.723 +1000,,22,
62,Buried fen,2023-04-20 00:39:10.723 +1000,,22,
63,Sapropel / Gyttja,2023-04-20 00:39:10.723 +1000,,32,
64,Moss polster,2023-04-20 00:39:10.723 +1000,,32,
65,Dune,2023-04-20 00:39:10.723 +1000,,24,
66,Loess,2023-04-20 00:39:10.723 +1000,,24,
67,Mound spring or spring,2023-04-20 00:39:10.723 +1000,,22,
68,Burrow,2023-04-20 00:39:10.723 +1000,,33,
69,Nest,2023-04-20 00:39:10.723 +1000,,33,
70,Clutch,2023-04-20 00:39:10.723 +1000,,33,
71,Midden (animal),2023-04-20 00:39:10.723 +1000,,33,
72,Roost,2023-04-20 00:39:10.723 +1000,,33,
73,Owl roost,2023-04-20 00:39:10.723 +1000,,72,
74,Volcanic lake,2023-09-25 18:23:25.117 +1000,2023-09-25 18:23:25.117 +1000,56,
75,Salt lake,2023-09-25 18:24:10.099 +1000,2023-09-25 18:24:10.099 +1000,56,
76,Salt lake (permanent),2023-09-25 18:24:29.322 +1000,2023-09-25 18:24:29.322 +1000,75,
77,Salt lake (temporary),2023-09-25 18:25:06.560 +1000,2023-09-25 18:25:06.560 +1000,75,
78,Coastal fen,2023-09-25 18:25:51.751 +1000,2023-09-25 18:25:51.751 +1000,29,
79,Swamp,2023-10-10 17:53:04.141 +1100,2023-10-10 17:53:04.141 +1100,22,use if not otherwise specified by the authors
80,Spring,2023-10-12 20:32:47.146 +1100,2023-10-12 20:32:47.146 +1100,22,
81,Tarn,2023-10-12 20:33:41.697 +1100,2023-10-12 20:33:41.697 +1100,56,
82,Lacustrine (Drained lake),2023-11-15 01:43:14.358 +1100,2023-11-15 01:45:34.357 +1100,28,
83,Lacustrine (Fluvial origin),2023-11-15 01:43:47.720 +1100,2023-11-15 01:45:34.370 +1100,28,
84,Lacustrine (Glacial origin),2023-11-15 01:45:34.345 +1100,2023-11-15 01:45:34.345 +1100,28,
85,Lacustrine (Tectonic origin),2023-11-15 01:49:09.348 +1100,2023-11-15 01:49:09.348 +1100,28,